GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model.enums,UserTypeApi,15,0,0,0,3,0,1,0,1,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model.products.catalog,BulkProductsOnOffResponse,12,0,0,0,3,0,3,0,3,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model.products.catalog,ProductIdWithPublicationIdListDto,4,0,0,0,1,0,1,0,1,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.usecases.orders.list,GetOrdersUseCase,13,122,1,1,4,36,1,5,0,5
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model.profiles,BulkDeleteProfilesRequest,4,0,0,0,1,0,1,0,1,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model.profiles,BulkDeleteProfilesResponse,8,0,0,0,2,0,2,0,2,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin,Bootstrap,5,3,0,0,2,1,1,1,1,1
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model.profiles.users,ActiveCannaUserRequest,4,0,0,0,1,0,1,0,1,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model.profiles.users,ActiveCannaUserResponse,4,0,0,0,1,0,1,0,1,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.config,CacheConfiguration,0,14,0,0,0,4,0,3,0,3
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.config,RemoteServicesConfiguration,0,94,0,0,0,16,0,8,0,8
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.config,OpenApiV3Configuration,0,38,0,0,0,9,0,2,0,2
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.config,ApplicationReadyInitializer,0,92,0,0,0,25,0,3,0,3
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,ProductWithDetailResponse,8,0,0,0,2,0,2,0,2,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,BrandWithDetailResponse,16,0,0,0,4,0,4,0,4,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,ProductWithDetailRequest,8,0,0,0,2,0,2,0,2,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,BulkDeleteProductsResponse,8,0,0,0,2,0,2,0,2,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,ProductToApproveResponse,4,0,0,0,1,0,1,0,1,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,CatalogProductByIdResponse,8,0,0,0,2,0,2,0,2,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,BrandWithDetailRequest,16,0,0,0,4,0,4,0,4,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,PaginatedResponse,0,19,0,0,0,7,0,1,0,1
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,BulkDeleteProductsRequest,4,0,0,0,1,0,1,0,1,0
Ecomm - Admin backend for frontend,io.oigres.ecomm.bff.admin.api.model,StrainWithDetailRequest,24,0,0,0,6,0,6,0,6,0
